조사연도,가구고유번호,수도권여부,가구주_성별코드,가구원수,노인가구코드,조손가구코드,한부모가구코드,다문화가구코드,장애인가구코드,교육정도_통합코드,동거코드,산업대분류코드,직업대분류코드,만연령,종사상지위코드,혼인상태코드,입주형태통합코드,전용면적규모코드,주택종류통합코드,부채보유여부,자산금액,부채금액,근로소득,사업소득,재산소득
2016,10202161,수도권,여자,2,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,같이 살고 있음,0,0,67,"기타(무직자, 가사, 학생 등)",배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 미보유,25650,0,0,0,136
2016,10202171,수도권,남자,7,그 외 가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,고등학교 졸업,같이 살고 있음,0,0,55,"기타(무직자, 가사, 학생 등)",배우자있음,월세,49.6㎡ 미만,단독주택,부채 보유,7917,2000,3936,0,0
2016,10202191,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,F,7,51,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 보유,38743,11690,3500,0,600
2016,10202301,수도권,여자,1,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,1인 가구,S,3,37,상용근로자,미혼,자기집,49.6㎡ 미만,아파트,부채 보유,18771,7200,3000,0,0
2016,10202311,수도권,여자,3,그 외 가구,그 외 가구,한부모 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,M,3,44,상용근로자,이혼,월세,49.6㎡ 미만,아파트,부채 미보유,3712,0,1820,0,0
2016,10202321,수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,I,2,58,고용원이 없는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 미보유,28851,0,2640,600,0
2016,10202351,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,G,5,55,고용원이 없는 자영업자,배우자있음,월세,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,33920,1690,460,4200,0
2016,10203141,수도권,남자,5,그 외 가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,고등학교 졸업,같이 살고 있음,G,5,50,상용근로자,배우자있음,전세,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,26922,750,3000,1200,0
2016,10203161,수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,중학교 졸업,같이 살고 있음,G,5,71,고용원이 없는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,83122,8500,0,4800,0
2016,10203171,수도권,여자,1,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,중학교 졸업,1인 가구,G,5,68,고용원이 없는 자영업자,사별,자기집,86.0㎡ ~ 132.2㎡ 미만,단독주택,부채 보유,66384,3300,0,3000,1440
2016,10203311,수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,따로 살고 있음(직장),R,2,38,상용근로자,미혼,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 미보유,36300,0,600,0,0
2016,10203351,수도권,여자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,초등학교 졸업,같이 살고 있음,I,9,51,임시.일용근로자,배우자있음,월세,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 미보유,7570,0,3740,0,0
2016,10203361,수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,대학졸업 이상,같이 살고 있음,0,0,63,"기타(무직자, 가사, 학생 등)",미혼,자기집,132.2㎡ 이상,단독주택,부채 미보유,14090,0,0,0,0
2016,10203391,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,F,7,33,고용원이 없는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,16431,7950,0,1000,0
2016,10204131,수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,N,5,35,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,31140,20200,3800,0,0
2016,10300121,수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,P,2,28,상용근로자,배우자있음,전세,49.6㎡ 미만,연립 및 다세대,부채 보유,22048,3050,7790,0,0
2016,10300151,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,0,0,38,"기타(무직자, 가사, 학생 등)",배우자있음,월세,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,91200,40090,0,4800,0
2016,10300211,비수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,C,3,34,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,39640,13950,8400,0,0
2016,10300351,수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,N,2,36,상용근로자,배우자있음,전세,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 미보유,13300,0,4500,0,0
2016,10400111,수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,C,2,32,상용근로자,배우자있음,전세,49.6㎡ 미만,연립 및 다세대,부채 보유,17015,9280,2300,0,0
2016,10400151,수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,F,2,37,상용근로자,배우자있음,전세,132.2㎡ 이상,아파트,부채 보유,31450,9000,6000,0,0
2016,10400181,비수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,P,2,47,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 보유,53240,700,4000,0,0
2016,10400311,수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,K,3,34,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,74030,2000,5800,0,1080
2016,10400341,수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,C,3,34,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,22314,10000,3480,0,0
2016,10400351,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,G,5,33,상용근로자,배우자있음,자기집,86.0㎡ ~ 132.2㎡ 미만,아파트,부채 미보유,33358,0,3000,0,174
2016,10500131,수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,I,4,32,임시.일용근로자,배우자있음,기타,49.6㎡ 미만,단독주택,부채 미보유,1820,0,3400,0,0
2016,10500141,수도권,여자,6,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,M,4,49,임시.일용근로자,배우자있음,기타,49.6㎡ ~ 86.0㎡ 미만,기타,부채 보유,420,550,0,2040,0
2016,10500151,수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,중학교 졸업,같이 살고 있음,Q,2,61,상용근로자,사별,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,50840,5000,2400,0,0
2016,10500161,수도권,남자,2,노인가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,고등학교 졸업,같이 살고 있음,0,0,81,"기타(무직자, 가사, 학생 등)",배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 미보유,20000,0,0,0,0
2016,10500171,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,G,5,54,상용근로자,배우자있음,자기집,86.0㎡ ~ 132.2㎡ 미만,아파트,부채 보유,35991,14065,4129,0,0
2016,10500181,수도권,남자,5,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,M,2,53,상용근로자,배우자있음,자기집,86.0㎡ ~ 132.2㎡ 미만,아파트,부채 보유,89140,38260,9000,0,360
2016,10500191,수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,0,0,66,"기타(무직자, 가사, 학생 등)",배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,67720,10000,0,2500,0
2016,10501101,수도권,여자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,P,2,22,상용근로자,미혼,월세,49.6㎡ 미만,단독주택,부채 미보유,3400,0,2520,0,0
2016,10501111,수도권,남자,1,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,1인 가구,J,2,28,상용근로자,미혼,전세,49.6㎡ 미만,기타,부채 미보유,11258,0,3600,0,0
2016,10501131,수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,M,2,32,상용근로자,배우자있음,전세,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,34416,17000,3300,0,0
2016,10501141,수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,P,2,32,"기타 종사자(실적급의 보험설계사, 대리 운전기사, 학습지 방문 교사 등)",배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,22958,6900,0,3200,0
2016,10501201,비수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,0,0,63,"기타(무직자, 가사, 학생 등)",배우자있음,월세,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 미보유,1310,0,2160,0,0
2016,10501211,비수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,고등학교 졸업,같이 살고 있음,A,6,53,임시.일용근로자,배우자있음,전세,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,57484,3500,4900,0,0
2016,10501221,비수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,M,2,43,상용근로자,배우자있음,월세,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,10274,4000,2400,0,0
2016,10501231,비수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,O,4,47,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,47968,16550,5300,2400,720
2016,10501241,비수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,C,8,62,고용원이 있는 자영업자,배우자있음,자기집,86.0㎡ ~ 132.2㎡ 미만,단독주택,부채 보유,18768,60,3600,2400,0
2016,10501271,비수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,I,4,60,고용원이 없는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 보유,30810,3000,0,8500,0
2016,10501281,비수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,F,9,63,임시.일용근로자,배우자있음,월세,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 미보유,1464,0,2410,0,6
2016,10501291,비수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,따로 살고 있음(직장),P,3,59,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,43240,4916,9100,2400,1000
2016,10503301,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,F,7,45,상용근로자,배우자있음,자기집,86.0㎡ ~ 132.2㎡ 미만,연립 및 다세대,부채 미보유,31146,0,5640,0,0
2016,10503311,수도권,남자,1,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,1인 가구,C,7,34,상용근로자,미혼,월세,49.6㎡ 미만,연립 및 다세대,부채 미보유,5580,0,3960,0,0
2016,10503331,수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,따로 살고 있음(직장),F,9,45,임시.일용근로자,미혼,월세,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 미보유,1400,0,1200,0,0
2016,10503341,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,F,1,48,상용근로자,배우자있음,전세,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 보유,11208,3300,4800,0,1500
2016,10503351,수도권,남자,5,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,C,8,41,상용근로자,배우자있음,전세,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,5957,2480,4300,0,0
2016,10503361,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,N,4,39,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,38291,8500,6800,0,0
2016,10503391,수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,O,2,67,상용근로자,배우자있음,자기집,132.2㎡ 이상,아파트,부채 보유,178300,50000,5000,1000,660
2016,10600121,수도권,남자,1,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,1인 가구,N,9,67,상용근로자,이혼,월세,49.6㎡ 미만,단독주택,부채 보유,9,1350,1800,0,0
2016,10600131,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,G,2,46,고용원이 있는 자영업자,배우자있음,자기집,132.2㎡ 이상,아파트,부채 미보유,332600,0,0,13200,0
2016,10600141,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,장애인가구,고등학교 졸업,같이 살고 있음,G,5,62,고용원이 없는 자영업자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,35171,4192,0,4200,0
2016,10600151,수도권,여자,3,그 외 가구,그 외 가구,한부모 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,C,7,43,상용근로자,사별,전세,49.6㎡ 미만,연립 및 다세대,부채 미보유,13466,0,1920,0,0
2016,10600171,수도권,남자,1,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,1인 가구,I,4,25,임시.일용근로자,미혼,월세,49.6㎡ 미만,단독주택,부채 미보유,660,0,400,0,0
2016,10600191,수도권,여자,1,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,1인 가구,0,0,91,"기타(무직자, 가사, 학생 등)",사별,전세,49.6㎡ 미만,아파트,부채 미보유,3017,0,0,0,0
2016,10600211,비수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,같이 살고 있음,C,9,65,임시.일용근로자,배우자있음,자기집,132.2㎡ 이상,단독주택,부채 보유,37150,13000,1200,0,0
2016,10600221,비수도권,여자,1,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,1인 가구,S,2,21,상용근로자,미혼,월세,49.6㎡ 미만,연립 및 다세대,부채 미보유,1281,0,2400,0,0
2016,10600241,비수도권,여자,1,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,1인 가구,0,0,79,"기타(무직자, 가사, 학생 등)",사별,월세,49.6㎡ 미만,단독주택,부채 미보유,1550,0,0,0,0
2016,10600271,비수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,같이 살고 있음,F,7,52,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 미보유,57279,0,4865,0,0
2016,10600281,비수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,따로 살고 있음(직장),C,7,57,임시.일용근로자,배우자있음,자기집,86.0㎡ ~ 132.2㎡ 미만,단독주택,부채 보유,31820,3000,3640,1800,120
2016,10600291,비수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,M,3,37,상용근로자,배우자있음,자기집,132.2㎡ 이상,아파트,부채 보유,55159,7700,8880,0,0
2016,10600311,수도권,남자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,G,7,41,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,17475,8500,3500,0,0
2016,10600321,수도권,남자,2,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,C,2,30,상용근로자,배우자있음,전세,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 보유,22910,8500,12500,0,0
2016,10600331,수도권,남자,5,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,C,2,43,상용근로자,배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 미보유,75776,0,11600,0,1500
2016,10600351,수도권,남자,2,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,0,0,75,"기타(무직자, 가사, 학생 등)",배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,아파트,부채 미보유,26050,0,0,0,0
2016,10600361,수도권,남자,4,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,대학졸업 이상,같이 살고 있음,F,7,50,상용근로자,배우자있음,자기집,86.0㎡ ~ 132.2㎡ 미만,아파트,부채 보유,83015,31000,5316,0,0
2016,10600371,수도권,여자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,중학교 졸업,같이 살고 있음,F,7,55,상용근로자,배우자있음,자기집,132.2㎡ 이상,단독주택,부채 보유,259990,74446,3000,0,3904
2016,10600381,수도권,여자,3,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,초등학교 졸업,같이 살고 있음,C,8,50,상용근로자,배우자있음,전세,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,19778,12,11500,0,0
2016,10601101,수도권,남자,2,노인가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,중학교 졸업,같이 살고 있음,0,0,68,"기타(무직자, 가사, 학생 등)",배우자있음,자기집,49.6㎡ ~ 86.0㎡ 미만,단독주택,부채 보유,70405,18000,0,0,1440
2016,10601111,수도권,남자,6,그 외 가구,그 외 가구,그 외 가구,그 외 가구,그 외 가구,고등학교 졸업,같이 살고 있음,H,4,40,고용원이 없는 자영업자,배우자있음,월세,49.6㎡ ~ 86.0㎡ 미만,연립 및 다세대,부채 보유,4080,3500,0,1800,0
